Market Name,Delivery Date,Unique bid number,Response Unit,Unit type,Agent/Applicant,Related Entity,Volume offered,Volume Accepted,Delivery Start UTC,Delivery End UTC,Service Duration,Availability Fee,Total Cost,RTM/no RTM,Accepted/Rejected,Rejection code,Technology Type
DC LF,17-Mar-21,20210317 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 DBESSH-33,DBESSH-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 DBESSE-33,DBESSE-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 DBESSG-33,DBESSG-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 BHOLB-1,BHOLB-1,BM,Tesla Motors Limited,N/A,7,7,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,2856,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 PETDAG-2,PETDAG-2,Non-BM,Peak Gen Top Co Ltd,Peak Gen Power 2 Ltd,3,3,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,1224,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 UF_OSS01,UF_OSS01,Non-BM,Origami Energy Limited ,N/A,9,9,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 V__BEROV001,V__BEROV001,BM,Open Energi Ltd,Erova Energy Limited,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 HAB3-FFR,HAB3-FFR,Non-BM,Habitat Energy Limited,N/A,15,15,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,6120,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AG-HEL01H,AG-HEL01H,BM,Habitat Energy Limited,N/A,20,20,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AG-EFLX02,AG-EFLX02,BM,Flexitricity Limited,N/A,4,4,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,1632,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 UF_FLXT01,UF_FLXT01,Non-BM,Flexitricity Limited,N/A,10,10,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 EDFE-9,EDFE-9,Non-BM,EDF Energy Customers Ltd,N/A,49,49,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,19992,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AG-GEDF01,AG-GEDF01,BM,EDF Energy Customers Ltd,N/A,20,20,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,16728,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 ARNKB-2,ARNKB-2,Non-BM,Arenko Cleantech Limited,OSSPV001 LIMITED,9,9,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,3672,RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AFFR1,AFFR1,Non-BM,UK Power Reserve Ltd,,20,20,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,8160,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AFFR2,AFFR2,Non-BM,UK Power Reserve Ltd,,20,20,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,8160,no RTM,Accepted,,Battery
DC LF,17-Mar-21,20210317 AFFR3,AFFR3,Non-BM,UK Power Reserve Ltd,,20,20,2021-03-16T23:00:00Z,2021-03-17T23:00:00Z,24,17,8160,no RTM,Accepted,,Battery
Withdraw,18-03-21,20210318 AG-FLX00L,AG-FLX00L,BM,Flexitricity Limited,N/A,4,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,0,,RTM,Rejected,5,Battery
Withdraw,18-03-21,20210318 AG-EFLX01,AG-EFLX01,BM,Flexitricity Limited,N/A,19,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,0,,RTM,Rejected,5,Battery
Withdraw,18-03-21,20210318 GBND-2,GBND-2,Non-BM,GridBeyond,ESB,2,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,0,,no RTM,Rejected,5,Battery
Withdraw,18-03-21,20210318 AG-GEDF01,AG-GEDF01,BM,EDF Energy Customers Ltd,N/A,20,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,0,,RTM,Rejected,5,Battery
Withdraw,18-03-21,20210318 ARNKB-3,ARNKB-3,Non-BM,Arenko Cleantech Limited,GridReserve Limited,29,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,0,,no RTM,Rejected,5,Battery
DC LF,18-03-21,20210318 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-MSTK01,AG-MSTK01,BM,Statkraft Markets GmbH,,49,49,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 HAB3-FFR,HAB3-FFR,Non-BM,Habitat Energy Limited,N/A,12,12,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4896,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-HEL01H,AG-HEL01H,BM,Habitat Energy Limited,N/A,20,20,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-BFLX01,AG-BFLX01,BM,Flexitricity Limited,N/A,5,5,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,2040,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-EFLX02,AG-EFLX02,BM,Flexitricity Limited,N/A,4,4,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,1632,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 UF_FLXT01,UF_FLXT01,Non-BM,Flexitricity Limited,N/A,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSH-33,DBESSH-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSE-33,DBESSE-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 DBESSG-33,DBESSG-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 BHOLB-1,BHOLB-1,BM,Tesla Motors Limited,N/A,7,7,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,2856,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 PETDAG-2,PETDAG-2,Non-BM,Peak Gen Top Co Ltd,Peak Gen Power 2 Ltd,3,3,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,1224,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 UF_OSS01,UF_OSS01,Non-BM,Origami Energy Limited ,N/A,9,9,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 V__BEROV001,V__BEROV001,BM,Open Energi Ltd,Erova Energy Limited,10,10,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 EDFE-9,EDFE-9,Non-BM,EDF Energy Customers Ltd,N/A,49,49,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,19992,no RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AG-GEDF02,AG-GEDF02,BM,EDF Energy Customers Ltd,N/A,20,20,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 ROOSB-1,ROOSB-1,BM,Centrica Brigg Ltd,N/A,49,49,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,19992,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 ARNKB-1,ARNKB-1,BM,Arenko Cleantech Limited,N/A,41,41,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,16728,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 ARNKB-2,ARNKB-2,Non-BM,Arenko Cleantech Limited,OSSPV001 LIMITED,9,9,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,3672,RTM,Accepted,,Battery
DC LF,18-03-21,20210318 AFFR1,AFFR1,Non-BM,UK Power Reserve Ltd,,20,20,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,8160,no RTM,Accepted,,Battery
Withdraw,18-03-21,20210318 AFFR2,AFFR2,Non-BM,UK Power Reserve Ltd,,20,0,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,,no RTM,Rejected,5,Battery
DC LF,18-03-21,20210318 AFFR3,AFFR3,Non-BM,UK Power Reserve Ltd,,20,20,2021-03-17T23:00:00Z,2021-03-18T23:00:00Z,24,17,8160,no RTM,Accepted,,Battery
Withdraw,19-03-21,20210319 AG-FLX00L,AG-FLX00L,BM,Flexitricity Limited,N/A,4,0,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,0,,RTM,Rejected,5,Battery
Withdraw,19-03-21,20210319 AG-EFLX01,AG-EFLX01,BM,Flexitricity Limited,N/A,19,0,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,0,,RTM,Rejected,5,Battery
Withdraw,19-03-21,20210319 GBND-2,GBND-2,Non-BM,GridBeyond,ESB,2,0,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,0,,no RTM,Rejected,5,Battery
Withdraw,19-03-21,20210319 ARNKB-3,ARNKB-3,Non-BM,Arenko Cleantech Limited,GridReserve Limited,29,0,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,0,,no RTM,Rejected,5,Battery
DC LF,19-03-21,20210319 AG-HEL00G,AG-HEL00G,BM,Habitat Energy Limited,N/A,49,49,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-MFLX02,AG-MFLX02,BM,Flexitricity Limited,N/A,49,49,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-MSTK01,AG-MSTK01,BM,Statkraft Markets GmbH,,49,49,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,16.99,19980.24,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 HAB3-FFR,HAB3-FFR,Non-BM,Habitat Energy Limited,N/A,15,15,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,6120,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-HEL01H,AG-HEL01H,BM,Habitat Energy Limited,N/A,20,20,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-BFLX01,AG-BFLX01,BM,Flexitricity Limited,N/A,7,7,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,2856,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-EFLX02,AG-EFLX02,BM,Flexitricity Limited,N/A,4,4,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,1632,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 UF_FLXT01,UF_FLXT01,Non-BM,Flexitricity Limited,N/A,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSA-33,DBESSA-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSC-33,DBESSC-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSF-33,DBESSF-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSH-33,DBESSH-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,9,9,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSE-33,DBESSE-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 DBESSG-33,DBESSG-33,Non-BM,Zenobe Energy Limited,BESS HOLDCO 3 LIMITED,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 BHOLB-1,BHOLB-1,BM,Tesla Motors Limited,N/A,7,7,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,2856,RTM,Accepted,,Battery
DC LF,19-03-21,20210319 PETDAG-2,PETDAG-2,Non-BM,Peak Gen Top Co Ltd,Peak Gen Power 2 Ltd,3,3,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,1224,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 UF_OSS01,UF_OSS01,Non-BM,Origami Energy Limited ,N/A,9,9,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,3672,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 V__BEROV001,V__BEROV001,BM,Open Energi Ltd,Erova Energy Limited,10,10,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,4080,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 EDFE-9,EDFE-9,Non-BM,EDF Energy Customers Ltd,N/A,49,49,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,19992,no RTM,Accepted,,Battery
DC LF,19-03-21,20210319 AG-GEDF02,AG-GEDF02,BM,EDF Energy Customers Ltd,N/A,20,20,2021-03-18T23:00:00Z,2021-03-19T23:00:00Z,24,17,8160,RTM,Accepted,,Battery
